item_name,item_type,ingredients
Dabur coconut oil,drink,"coconut oil , anti oxident"
Lindt Fine dark chocolate,snack,"cocoa mass, sugar, cocoa butter, vanilla"
nutella,food,"sugar, palm oil, hazelnuts 13%, low-fat cocoa 7.4%, skimmed milk powder 6.6%, whey powder, emulsifiers: lecithins [soya], vanillin, gluten-free"
Coca-Cola Original Taste,drink,"carbonated water, sugar, colour (caramel e150d), acid (phosphoric acid), natural flavourings, caffeine flavouring"
Patanjali Chyawanprash,drink,a (withenia somnilera) 450 mg yd (glycyrhiza glabra 45 mg पिपला मूल (pिper longum) wrara (asparagus racemosus) oioneach 10g contains yod phaeslus trbulus) id wit por ongum) wd (eamus abialis) woyt paotaca integerima) hen phylanthus niruri) m vits vintera) ded (upade ia reticulate) m (leminalia chebul aadw (inospora cordifonay xit (habenaria intermedia) dve (malaxis acurminate) (curcuma zedoaria) नागरोथा (cyperus rot 45 mg 55 mg q piper retrofiractum) 45 mg वित्रक मूल (plum n doylanica) 45 mg सोंठ (iinglber i 45 mg वराहीकंद (dlog bubler) 25 mg आंवला पिष्टी (b m oficinal) 45 mg घृत (ghee) 45 mg (saccharum officinarum) 45 mg प्रक्षेप द्रव्य (processed with) . 45 mg वंशलोचन ( bambusa arundinacead)। 45 mg 46 tmg दालचीनी (cinnamomum 29ylonol) 45 mg 20m 20mg 20mg 20 mg 29 पिप्पली छोटी (piper longum) (boerhaavia dif fusa) aa (polygonatum cirrhifolium) hatewa (nymphaea nouchall) वितारीकंद (puraria tuberosa) (adhatoda vasica) bolat (roscoea alpine) ww (martynia diandra) तेजपत्र (ciname tamala) नागकेशर (messh te १) केशर (crocus sativue) 45 mg ag (elletaria cardamomum) 45 mg 45 mg 215mg 25 m 10 mg 45 mg 45 mg अश्रकभस्म (calcined mica) it (syzygium aromaticum) काली मिर्च (plper nigrum) गोदंती भर्म (calcined calcium sufpthaty 10y 90 mg 45 mg 45 mg mfg. lic. no. net weight uttra/ayu-181/2009 1 kg 1 किलो ग्राम शुदध मात्रा batch no. ीप राखा 890602i8831914 manufacturing date ficz ep aug
Amul Pasteurized Butter,food,"butter, common salt. contains permitted natural colour [annatto]"
NONGSHIM SHIN RAMYUN,drink,"noodles 89%: wheat flour, potato starch, palm oil, salt, acidity regulators: e501, e500, e339, antioxidant: e306, emulsifier: e322 (contains soy), seasoning (yeast extract, soybean, garlic, wheat starch), green tea extract, colour: e101, seasoning powder 9%: seasoning (hydrolyzed vegetable protein (soy), maltodextrin, yeast extract, salt, wheat flour), salt, spices (maltodextrin, black pepper, red chili pepper, garlic, corn flour), flavour enhancers: e621, e627, e631, sugar, glucose, shiitake, vegetable mushroom flakes 2%: pak-choi, shiitake, textured vegetable protein (soy, wheat gluten), carrot, red chili pepper, onion, may contain barley, crustaceans, eggs, fish, peanuts, milk, celery, mustard, sesame seeds and molluscs"
Ferrero Crisp Hazelnut and Milk Chocolate Coverded Specialty with a Smooth Filling and Whole Hazelnut,snack,"milk chocolate (sugar, cocoa butter, cocoa mass, skimmed milk powder, butter oil, soy lecithin, vanillin), hazelnuts, sugar, palm oil, wheat flour, whey, low-fat cocoa powder, soy lecithin, sodium bicarbonate, salt, vanillin"
Aachi chicken masala,drink,"spice content - 77% (red chilli powder. turmeric powder, black pepper, cumin, cassia bark (taj), cardamom. garlic flakes, dry ginger, dry fenugreek leaves, mustard). gram dhal,toor dhal, urad dal and salt - 5%"
Birds Custard powder,sweet,"maize starch, salt, flavouring, colour (annatto)"
Nutella pâte à tartiner aux noisettes et au cacao,food,uare alle cad be nutella ferrero da co 2252 336 kale
Ferrero nutella,sweet,"sugar, palm oil, hazelnuts , skimmed milk powder , fat-reduced cocoa , emulsifier: lecithins ( soya ), vanillin"
Wai Wai Quick Chicken Pizza Instant Noodles,drink,"noodles (with seasonings): wheat flour, edible vegetable oil (palm), lodised salt, wheat gluten, softening agent (500ii), soya sauce, black pepper, flavour enhancer (621, 627, 631), guar gum (412), acidity regulator (451i), onion, calcium carbonate (170i), chicken flavour and caramel (150d) (carryover from soya sauce). seasoning (in a separate sachet): lodised salt, sugar, garlic, noodle powder, maltodextrin (1400), onion, flavour enhancer (621.627 631), cumin, chives, white pepper, oregano, cheese powder, citric acid (330), hydrolyzed vegetable protein, dehydrated vegetables. soy sauce powder, paprika (160c), anticaking agent (551). yeast extract and chilli powder. flavoured oil: edible vegetable oil (palm olein) & onion contains permitted natural colour (caramel 150d, paprika 160c) and a flavours (natural flavours & natural flavouring substances, nature identical flavouring substances and artificial flavouring substances (chicken). may contain traces of milk products & mustard products. this package contains added monosodium glutamate (not recommended for children under 12 months)"
amul cow ghee,food,fresh cream
pepsi Mountain dew 250ml,drink,"carbonated water, sugar, acidity regulators (330, 331), preservative (211), caffeine, stabilizer (445). contains permitted synthetic food colour (102) and added flavour (natural flavouring substances)"
Lays Chips barbecue,drink,"potatoes 61%, sunflower oil, rapeseed oil, flavour (sugar, aroma ( soy ), bread crumbs ( wheat ), flavour enhancer (sodium glutamate), paprika, onion powder, tomato powder, garlic powder, corrector of acidity (citric acid, malic acid), colour(paprika extract), smoke flavourings), salt"
SYNTHA-6 Ultra Premium Protein Matrix Chocolate Milkshake,food,"lecithin, salt, cellulose gum, acesulfame potassium, sucralose, papain, bromelain, t gedients: protein matrix comprised ewhey protein concentrate, whey fotein isolate, calcium caseinate, micellar casein, milk protein isolate, egg albumen, glutamine peptides), sunflower creamer (sunflower oil, corn syrup solids, sodium caseinate, mono - and diglycerides, dipotassium phosphate, tricalcium phosphate, soy lecithin, tocopherols), polydextrose, cocoa (processed with alkali), natural and artificial fla vor, mct powder (medium chain triglycerides, nonfat dry milk, disodium phosphate, silicon dioxide)"
Coca Cola Company Thumbs Up 750ml,drink,"carbonated water, sugar, acidity regulator (338), caffeine (8.3 mg/100 g), colour (1506) flavours (natural, nature-identical & artificial (cola) flavouring substances). &quot;contains caffeine&quot"
Parachute Coconut oil,drink,coconut oil
Parachute 100 Pure Coconut Oil,food,coconut oil
Red Bull Sugarfree Energy Drink,drink,"water, acid (citric acid), carbon dioxide, taurine , acidity regulators (sodium carbonates, magnesium carbonates), sweeteners (acesulfame k, aspartame), caffeine , vitamins (niacin nlathenic acid, b6, b12), flavourings, thickener xanthan gum), colours (plain caramel, riboflavin) contiains a source of phenylanine"
Coca-Cola diet coke 500ml,drink,"csd water, caramel color, aspartame, phosphoric acid, potassium benzoate (to protect taste), natural flavors, citric acid, caffeine, contains phenylalaline water gazeifiée, caramel colour e150d, sweeteners : aspartame, acesulfame k, flavourings, natural caffeine, phosphoric acid, citric acid"
Kabuto Noodles Chicken Ramen,drink,"afr.eshtasting noodle dish with chicken, ginger, chi//i, ingre01ents: egg noodle (wheat flour, pasteurisedegg, sait lactose (milk) s onion , red pepper, dried soya sauce, flour, vegetable oil, ginger , chili , (barley), corianderleaf(o.20/o). a s containing gluten, see ingredients"
Balaji wafers Malasa Masti,drink,"potato , edible vegetable oil (palmolein), sugar, spices & condiments 1% (chilli, dry mango, coriander, cumin, black pepper, ginger, clove), edible common salt, black salt"
parle - G,food,"refined wheat flour (maida), sugar, refined palm oil, invert sugar syrup, iodised salt, raising agent [503, 500], milk solids, flour treatment agent[1101 and emulsifier of vegetable origin [472e] contain added flavour"
Tropicana Litchi Delight Juice 1Ltr (Pckt),drink,"water, litchi pulp 13%, sugar, concentrated apple juice , acidity regulator (296), flavour (natural and nature identical flavouring substances), stabilizer (440), iodised salt, antioxidant (300)"
Britannia 50-50,food,"refined wheat flour (maida), edible vegetable oil (palm) sugar, liquid glucose, raising agents 503(), 500(i), 450(1)1, butter , black salt, milk solids, edible vegetable product , iodised salt, acidity regulator (341(ii), dough conditioner (223) and improver [1101(i)]. contains added flavour (artificial flavouring substance (butter)]. (numbers in brackets as per international numbering system) contains wheat, milk and sulphite"
patanjali Chyawanprash,food,oyxoykyxlyxlhxlyx
Häagen-Dazs Caramel Biscuit  Cream Ice Cream,sweet,"caramel ice cream (cream , caramel base (water, dried glucose syrup, milk, sugar, wheat glucose syrup, salt, natural flavouring substance: vanilla), condensed skimmed milk, sugar, water, egg yolk), biscuit pieces (refined wheat, flour, sugar, edible vegetable oil (coconut oil), edible vegetable oil (rapeseed oil), icing sugar, concentrated butter, candy sugar, raising agent (sodium bicarbonate), emulsifier (soy lecithin), salt, cinnamon powder"
Shri Mahalaxmi Pista Chikki,snack,"water, gud, sugar, liquid glucose, peanuts, sesam, veg. oil etc"
Red Bull ENERGY DRINK,drink,"carbonated water, sugar, glucose, citric acid, taurine, natural flavors, artificial flavors, sodium bicarbonate, magnesium carbonate, artificial colors, caffeine, niacinamide, pyridoxine hci, calcium pantothenate, vitamin b12"
Asian Creations Peanut Satay Sauce Medium Spicy,condiment,"water, coconut milk, sugar, soybean oil, peanut, white sesame seed, tamarind paste (tamarind, water), spices (including chili pepper), salt, modified tapioca starch, shallot, garlic, lemongrass, citric acid and kaffir lime"
Boost Plain,food,"cereal extract , malted barley (extracted solids) , sugar, wheat flour , milk solids , minerals, wheat gluten, natural colour ins 150c), acidity regulators (ins 501(1), ins 500(1)), alt, cocoa powder, vitamins, soy protein isolate , nature identical flavouring substances. contains permitted natural colour and added flavour (nature-identical flavouring substances) 80"
amul milk chocolate,snack,"sugar, milk solids, cocoa butter, cocoa solids, permitted emulsifiers (e322, e476). contains added flavours (artificial flavouring substances-cocoa & vanilla)"
doctor,food,laundry soap oil based washing soap
Coca Cola Sprite,drink,"carbonated water, sugar, acidity regulators (330,331(ii)), presservative (211) & sweetener (960)"
Kelloggs Oats,food,rolled oats
Amul Chocominis,snack,"sugar, hydrogenated edible vegetable oil (palm kernel oil), milk solids, cocoa solids, emulsifiers (492, 322), artificial flavouring substances (cocoa, vanilla). allergen information: contains milk"
Coca-Cola Coca cola Original Taste 300ml can,drink,"carbonated water, sugar, acidity regulator (338), caffeine (8.7 mg/100 g), colour (150d), flavours (natural flavouring substances)"
True Elements Muesli Cranberry  Blueberry,breakfast,"whole wheat flakes, rolled oats, almonds, freeze dried raisins, dried cranberry, dried blueberry, raw honey, cane sorghum, natural soy lecithin"
Britannia Marie Gold,snack,"refined wheat flour (maida) , sugar, refined palm oil, invert sugar syrup, milk solids, raising agents [503 (ii) & 500 (ii)], iodized salt, emulsifier (472e), calcium salt, dough conditioner (223), vitamins*, ferrous salt and potassium iodate. contains permitted natural colour (150d) and added flavoursinature identical & artificial (milk & vanilla) flavouring substances]"
Ashoka Dal Makhani,food,"water, black gram, cream (milk) , onion, red kidney beans, tomato paste, sunflower oil, butter (milk, salt) , cashewnut, ginger, salt, coriander leaves, garlic, chilli powder, spices (anistar, black cardamom, black pepper, caraway, cassia, chilli, clove, salt, coriander, cumin, dry ginger, fennel seeds), green chilli, turmeric powder, cardamom, cinnamon, clove. contains: milk & cashewnut processed in a facility that also processes tree nuts, peanuts, soya, mustard and sesame"
Haldiram Khatta Meetha,snack,"refined palmolein oil, rice flakes , bengal gram flour (besan) , refined sugar, split pulse bengal gram (chana dal) groundnuts (peanuts) , sago , red lentils (masur whole) , edible common salt, black salt, turmeric acidity regulator (ins 330), red chilli, ajwain, raising agent s500i) & asafoetida tard seed"
Balaji Wafers Simply Salted,snack,"potato , edible vegetable oil (palmolein), iodized salt"
Dr. Oetker Dr Oetker Funfoods Veg Mayonnaise,condiment,"refined soyabean oil, water, sugar, milk solids, lodised salt, stabilizers (ins415, ins1442), acidity regulators (ins260, preservatives (ins211, ins202), antioxidant (ins319)"
Kelloggs Corn Flakes Original,drink,"corn grits 87.7%, sugar, malt extract, iodized salt, vitamins, ins320"
Amul Taaza Milky Milk,food,pasteurised homogenised toned milk
Protinex Original,food,"peanut protein hydrolysate , sugar, malt extract, maltodextrin, minerals (tribasic calcium phosphate, ferrous gluconate), choline bitartrate vitamins (ascorbic acid, niacinamide, d-alpha tocopheryl acetate, phytomenadione, retinyl palmitate, thiamine mononitrate, ergocalciferol, riboflavin, pantothenol, pyridoxine hydrochloride, folic acid, cyanocobalamin, d-biotin)"
Maiyas Moong Dal,snack,"greengram dal , edible vegetable oil, salt. allergy advice: made in a facility that processes peanuts, treenuts, milk, wheat and sesame"
Haldirams Moong Dal,drink,"split mung bean , vegetable oil (peanut, corn & cotton seed) and salt"
Haldirams Takatak Chatpata Masala,snack,"rice meal, edible vegetable oil (palmolein oil), corn meal,gram meal, spices and condiments (red chilli powder , raw mango powder, coriander powder, cumin powder, garlic powder, anise powder , black pepper powder, nutmeg powder, cinnamon powder, onion powder, spices extract), edible common salt, whey powder, maltodextrin, dextrose and acidity regulators (ins 330 & ins 296). contains added flavour (natural and nature identical flavouring substances)"
Patanjali Chyawanprash with Saffron,drink,each 10g contains 450 mg wth(sida cordifolia) ya phaseolus tribulus) freg ute (piper longum) hai leramnus labialis) 1 (pistacia integerrima) tt ephyllanthus niruri) t(vitis vinifera) dha-t (leptadenia reticulate) 45 mg 45 mg 55 mg 45 mg e 45 mg a 45 mg 25 mg a 45 mg (terminalia chebula) 45 mg fretu (tinospora cordifolia) 45 mg 45 mg 45 mg f 45 mg 45 mg 45 mg 45 mg 45 mg 45 mg 90 mg 45 mg 45 mg (habenaria intermedia) trare (malaxis acuminate) (curcuma zedoaria) eet(cyperus rotundus) t-ta (boerhaavia diffusa) r(polygonatum cirrhifolium) eteer (nymphaea nouchall) rta(puraria tuberosa) (adhatoda vasica) r(roscoea alpine) (martynia diandra) mfg. ii kl-181
Tata Salt,condiment,"edible common salt, potassium iodate (2mg) and anticaking agent (ins 536)"
Haldirams Haldirams Pasta,drink,semoule(rawa)
Haldirams Lite Chiwda,food,"rice flakes,refined palmolein oil,bengal gram flour,tapioca starch,refined sugar,iodised salt and turmeric"
Tropicana Mixed Fruit Delight,drink,"water, concentrated mixed fruit juice (from apple, mango, guava, orange, banana, apricot, peach), sugar, acidity regulator (330), stabilizers (466, 440), salt, sweetener (960), contains permitted natural colour (160a(i)) and added flavour (natural and nature identical flavouring substances)"
